role,sid,latency (ms),upload (Mbps),download (Mbps)
client,K6HKbf3ZCKW-FRq4AAAN,0.7235,24.16,23.2
server,lRdtpdjGUnNLaynEAAAP,0.7775,23.2,24.16
client,6b6t6iOS-WA5Kl6BAAAT,1.2053,17.44,17.76
server,hxLslcxzZOEzc5q8AAAR,0.9936,17.76,17.44
client,Z7W8_fmUIMI0gT6wAAAV,0.6603,12.8,10.88
server,xEN-cFaXr4MNVCCHAAAX,0.873,10.88,12.8
client,SuvWyrVbU5xQxUoFAAAD,0.9997,15.76,6.72
server,ndxak1i_9yboLCZoAAAB,0.9675,6.72,15.76
client,T2T364lpbjpm8UDxAAAB,0.6425,24.32,25.84
server,u3wHlYk3XkTrFBqBAAAD,0.615,25.84,24.32
client,Bb3uw5cncERqDPHBAAAB,1.1948,14.72,14.32
server,SV7xQL_cC5N-Xuq-AAAD,1.308,14.32,14.72
client,FIxGLAhHepbepn9UAAAD,0.6019,13.36,12.0
server,RyQsniMDtLW2eUrtAAAB,0.5876,12.0,13.36
client,Bn-vjWB6mWygDH96AAAD,1.6017,7.12,7.04
server,Oh0TITnIHX2fgTCgAAAB,1.6846,7.04,7.12
client,LjKHFt0nZwFOWooKAAAB,0.7254,21.36,18.72
server,YFVg3a57NdSxs6g4AAAD,0.8147,18.72,21.36
client,AlNSN1vhuPy7TnfMAAAB,0.954,11.52,9.04
server,MWJ_Ei99jl4cRO_nAAAD,0.8962,9.04,11.52
client,MOACMx5alL0ElhyiAAAD,5.7041,6.16,7.12
server,dCvw9W1asGXN5LzxAAAB,3.5105,7.12,6.16
client,5NjyvQj7vyaxcxdYAAAB,1.574,8.88,8.4
server,ffnREqZcyq5306ocAAAD,2.0958,8.4,8.88
client,7djLVolqvy_dXXU-AAAD,0.8839,16.96,14.56
client,UPAfu8rUsja10D7QAAAB,0.9348,16.48,12.48
client,MFss2EhT4fi6yTnSAAAD,0.9146,9.68,21.28
client,Wi_ex2vew0WwkQwjAAAB,0.8513,16.64,14.72
client,U_JLFs-vyFKyDKOvAAAD,0.6396,16.64,15.12
client,8DOuD93BnBSdKjxQAAAB,0.8895,35.12,35.04
client,Co8zrCD3RjzcOsX6AAAD,1.6992,9.36,10.16
client,2NfCNk-u5J0W8kQEAAAB,0.4091,28.0,24.64
client,HgQbEmaKf6VOGUH5AAAD,0.5545,31.76,26.24
client,BgvV3kFl7KS9EtDrAAAB,0.9877,6.88,5.68
client,J7Qq29Klzp3joylsAAAF,0.7413,29.36,29.44
server,NFzONOMNfVnAWNxUAAAL,0.6646,30.0,31.6
server,ywlnKrDuGsXWcXL8AAAB,1.1594,22.96,24.72
server,sbFTpyxEVPkdSDefAAAD,0.9187,9.84,10.24
client,R-YcU6zN9w8GfdrKAAAF,0.4083,21.52,18.96
server,bgqsECRHv5AKE1PnAAAH,0.5765,18.96,21.52
client,EaWdyoFS88eltYAqAAAB,0.7302,21.92,19.52
server,doB-3taSaR-poAY-AAAD,0.604,19.52,21.92
client,bW42TG-dONO_z8PTAAAv,0.4544,26.08,25.2
server,w3SAucOitj1RVp61AAAx,0.5396,25.2,26.08
client,reMPcRyUIE3vVE2OAAAD,0.7223,28.8,26.56
server,sWR7Xk1PFAQI6G17AAAB,0.7537,26.56,28.8
client,OiL8UOJfSZlK6XleAAAH,0.7265,22.32,21.12
server,R1PfbricSTr87IMgAAAF,0.6065,21.12,22.32
client,0QVyp9forttFgwRGAAAB,0.5677,21.28,23.92
